Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Pos
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,
Reggie WayneR. Wayne,7,274.0,0,0,0,0,0,0,0,0,0,0,111,1355,6,0,1,0,WR
Dwayne BoweD. Bowe,4,272.0,0,0,0,0,0,0,1,4,0,0,72,1162,15,0,0,0,WR
Greg JenningsG. Jennings,10,269.0,0,0,0,0,0,0,1,-1,0,0,76,1265,12,0,0,0,WR
Calvin JohnsonC. Johnson,7,259.0,0,0,0,0,0,0,4,32,0,0,77,1120,12,1,0,0,WR
Andre JohnsonA. Johnson,7,250.0,0,0,0,0,0,0,2,10,0,0,86,1216,8,0,0,0,WR
Hakeem NicksH. Nicks,8,244.0,0,0,0,0,0,0,0,0,0,0,79,1052,11,0,0,0,WR
Mike WallaceM. Wallace,5,242.0,0,0,0,0,0,0,5,39,0,0,60,1257,10,0,0,0,WR
Stevie JohnsonS. Johnson,6,240.0,0,0,0,0,0,0,0,0,0,0,82,1073,10,0,1,0,WR
Larry FitzgeraldL. Fitzgerald,6,236.0,0,0,0,0,0,0,0,0,0,0,90,1137,6,1,0,0,WR
Santana MossS. Moss,9,231.0,0,0,0,0,0,0,5,-6,0,0,93,1115,6,0,2,0,WR
Marques ColstonM. Colston,10,222.0,0,0,0,0,0,0,1,1,0,0,84,1023,7,0,0,0,WR
Miles AustinM. Austin,4,220.0,0,0,0,0,0,0,7,93,1,0,69,1041,7,0,1,0,WR
Jeremy MaclinJ. Maclin,8,220.0,0,0,0,0,0,0,3,36,0,0,70,964,10,0,1,0,WR
Terrell OwensT. Owens,6,219.0,0,0,0,0,0,0,0,0,0,0,72,983,9,0,0,0,WR
Mike WilliamsM. Williams,4,218.0,0,0,0,0,0,0,0,0,0,0,65,964,11,0,2,0,WR
Wes WelkerW. Welker,5,207.0,0,0,0,0,0,0,0,0,0,0,86,848,7,0,0,0,WR
Mario ManninghamM. Manningham,8,203.0,0,0,0,0,0,0,1,2,0,0,60,944,9,0,1,0,WR
Brandon MarshallB. Marshall,5,199.0,1,0,0,0,0,0,2,3,0,0,86,1014,3,0,1,0,WR
Percy HarvinP. Harvin,4,198.0,0,0,0,0,0,0,18,107,1,0,71,868,5,1,1,0,WR
DeSean JacksonD. Jackson,8,194.0,0,0,0,0,0,0,16,104,1,0,47,1056,6,0,1,0,WR
Davone BessD. Bess,5,181.0,0,0,0,0,0,0,2,-3,0,0,79,820,5,0,2,0,WR
Anquan BoldinA. Boldin,8,181.0,1,1,-6,0,0,0,2,2,0,0,64,837,7,0,1,0,WR
Lance MooreL. Moore,10,181.0,0,0,0,0,0,0,0,0,0,0,66,763,8,0,1,0,WR
Braylon EdwardsB. Edwards,7,178.0,0,0,0,0,0,0,1,4,0,0,53,904,7,1,1,0,WR
Derrick MasonD. Mason,8,178.0,0,0,0,0,0,0,0,0,0,0,61,802,7,0,0,0,WR
Pierre GarconP. Garcon,7,176.0,0,0,0,0,0,0,2,6,0,0,67,784,6,0,0,0,WR
Deion BranchD. Branch,5,174.0,0,0,0,0,0,0,0,0,0,0,61,818,6,0,1,0,WR
Mike ThomasM. Thomas,9,171.0,0,0,0,0,0,0,12,114,0,0,66,820,4,0,3,0,WR
Danny AmendolaD. Amendola,9,169.0,0,0,0,0,0,0,7,81,0,0,85,689,3,0,1,0,WR
Kenny BrittK. Britt,9,169.0,0,0,0,0,0,0,0,0,0,0,42,775,9,1,1,0,WR
Johnny KnoxJ. Knox,8,169.0,0,0,0,0,0,0,1,2,0,0,51,960,5,0,1,0,WR
Chad JohnsonC. Johnson,6,167.0,1,0,0,0,0,0,0,0,0,0,67,831,4,0,0,0,WR
Austin CollieA. Collie,7,166.0,0,0,0,0,0,0,0,0,0,0,58,649,8,0,1,0,WR
Michael CrabtreeM. Crabtree,9,158.0,0,0,0,0,0,0,0,0,0,0,55,741,6,0,0,0,WR
Jabar GaffneyJ. Gaffney,9,158.0,0,0,0,0,0,0,0,0,0,0,65,875,2,0,0,0,WR
Santonio HolmesS. Holmes,7,156.0,0,0,0,0,0,0,2,17,0,0,52,746,6,0,2,0,WR
Hines WardH. Ward,5,156.0,0,0,0,0,0,0,1,-2,0,0,59,755,5,0,1,0,WR
Nate BurlesonN. Burleson,7,151.0,0,0,0,0,0,0,7,81,0,0,55,625,6,0,2,0,WR
Mike WilliamsM. Williams,5,145.0,0,0,0,0,0,0,1,0,0,0,65,751,2,0,0,0,WR
Anthony ArmstrongA. Armstrong,9,143.0,0,0,0,0,0,0,0,0,0,0,44,871,3,0,1,0,WR
James JonesJ. Jones,10,141.0,0,0,0,0,0,0,0,0,0,0,50,679,5,0,1,0,WR
Malcom FloydM. Floyd,10,140.0,0,0,0,0,0,0,0,0,0,0,37,717,6,0,0,0,WR
Nate WashingtonN. Washington,9,139.0,0,0,0,0,0,0,1,-8,0,0,42,687,6,0,0,0,WR
Kevin WalterK. Walter,7,137.0,0,0,0,0,0,0,0,0,0,0,51,621,5,0,0,0,WR
Eddie RoyalE. Royal,9,136.0,0,0,0,0,0,0,6,61,0,0,59,627,3,0,2,0,WR
Mike Sims-WalkerM. Sims-Walker,9,135.0,0,0,0,0,0,0,0,0,0,0,43,562,7,0,1,0,WR
Dez BryantD. Bryant,4,132.0,0,0,0,0,0,0,1,0,0,0,45,561,6,0,1,0,WR
Robert MeachemR. Meachem,10,132.0,0,0,0,0,0,0,4,14,0,0,44,638,5,0,0,0,WR
Steve BreastonS. Breaston,6,128.0,2,1,17,0,0,0,3,35,0,0,47,718,1,0,0,1,WR
Donald DriverD. Driver,10,126.0,0,0,0,0,0,0,0,0,0,0,51,565,4,0,1,0,WR
Jacoby JonesJ. Jones,7,124.0,0,0,0,0,0,0,2,7,0,0,51,562,3,1,0,0,WR
Brandon GibsonB. Gibson,9,123.0,0,0,0,0,0,0,3,28,0,0,53,620,2,0,0,0,WR
Jordan ShipleyJ. Shipley,6,123.0,0,0,0,0,0,0,0,0,0,0,52,600,3,0,0,0,WR
Josh MorganJ. Morgan,9,120.0,0,0,0,0,0,0,2,17,0,0,44,698,2,0,1,0,WR
Steve SmithS. Smith,8,116.0,0,0,0,0,0,0,0,0,0,0,48,529,3,0,0,0,WR
Roy WilliamsR. Williams,4,115.0,0,0,0,0,0,0,0,0,0,0,37,530,5,1,2,0,WR
Earl BennettE. Bennett,8,114.0,0,0,0,0,0,0,2,9,0,0,46,561,3,0,0,0,WR
Lee EvansL. Evans,6,113.0,0,0,0,0,0,0,0,0,0,0,37,578,4,0,1,0,WR
Jason AvantJ. Avant,8,111.0,0,0,0,0,0,0,0,0,0,0,51,573,1,1,0,0,WR
Louis MurphyL. Murphy,10,109.0,0,0,0,0,0,0,1,43,0,0,41,609,2,0,1,0,WR
Brian HartlineB. Hartline,5,108.0,0,0,0,0,0,0,2,27,0,0,43,615,1,0,1,0,WR
Devin HesterD. Hester,8,106.0,0,0,0,0,0,0,7,30,0,0,40,475,4,0,0,0,WR
Jordy NelsonJ. Nelson,10,106.0,0,0,0,0,0,0,0,0,0,0,45,582,2,0,3,0,WR
Steve SmithS. Smith,6,105.0,0,0,0,0,0,0,1,9,0,0,46,554,2,0,2,0,WR
Jacoby FordJ. Ford,10,103.0,0,0,0,0,0,0,10,155,2,0,25,470,2,0,1,0,WR
David GettisD. Gettis,6,102.0,0,0,0,0,0,0,3,2,0,0,37,508,3,0,0,0,WR
Ben ObomanuB. Obomanu,5,102.0,0,0,0,0,0,0,2,17,0,0,30,494,4,2,0,0,WR
Michael JenkinsM. Jenkins,8,98.0,0,0,0,0,0,0,0,0,0,0,41,505,2,0,0,0,WR
Blair WhiteB. White,7,98.0,0,0,0,0,0,0,0,0,0,0,36,355,5,0,0,0,WR
Mohamed MassaquoiM. Massaquoi,8,97.0,1,1,29,1,0,0,1,-3,0,0,36,483,2,0,1,0,WR
Deon ButlerD. Butler,5,93.0,0,0,0,0,0,0,2,6,0,0,36,385,4,0,0,0,WR
Brandon LaFellB. LaFell,6,92.0,1,0,0,0,0,0,1,60,0,0,38,468,1,0,0,0,WR
Randy MossR. Moss,9,92.0,0,0,0,0,0,0,0,0,0,0,28,393,5,0,0,0,WR
Jerricho CotcheryJ. Cotchery,7,88.0,0,0,0,0,0,0,4,-3,0,0,41,433,2,0,0,0,WR
Brandon TateB. Tate,5,84.0,0,0,0,0,0,0,5,62,0,0,24,432,3,0,1,0,WR
Patrick CraytonP. Crayton,4,82.0,1,0,0,0,0,0,0,0,0,0,28,514,1,0,0,0,WR
Roscoe ParrishR. Parrish,6,82.0,0,0,0,0,0,0,3,23,0,0,33,400,2,0,0,0,WR
Devery HendersonD. Henderson,10,81.0,0,0,0,0,0,0,3,8,0,0,34,464,1,0,0,0,WR
T.J. HoushmandzadehT. Houshmandzadeh,8,81.0,0,0,0,0,0,0,0,0,0,0,30,398,3,0,0,0,WR
David NelsonD. Nelson,6,80.0,0,0,0,0,0,0,0,0,0,0,31,353,3,0,0,0,WR
Laurent RobinsonL. Robinson,9,74.0,0,0,0,0,0,0,2,-14,0,0,34,344,2,0,0,0,WR
Brian RobiskieB. Robiskie,8,74.0,0,0,0,0,0,0,0,0,0,0,29,310,3,0,0,0,WR
Chansi StuckeyC. Stuckey,8,73.0,0,0,0,0,0,0,3,9,1,0,40,346,0,0,2,0,WR
Arrelious BennA. Benn,4,71.0,0,0,0,0,0,0,6,35,0,0,25,395,2,0,0,0,WR
Emmanuel SandersE. Sanders,5,71.0,0,0,0,0,0,0,0,0,0,0,28,376,2,0,1,0,WR
Darrius Heyward-BeyD. Heyward-Bey,10,69.0,0,0,0,0,0,0,4,48,0,0,26,366,1,0,1,0,WR
Mark ClaytonM. Clayton,8,63.0,0,0,0,0,0,0,1,6,0,0,23,306,2,0,0,0,WR
Legedu NaaneeL. Naanee,10,63.0,0,0,0,0,0,0,3,-2,0,0,23,371,1,1,1,0,WR
Andre RobertsA. Roberts,6,63.0,0,0,0,0,0,0,0,0,0,0,24,307,2,0,1,0,WR
Jerome SimpsonJ. Simpson,6,63.0,0,0,0,0,0,0,1,2,0,0,20,277,3,0,2,0,WR
Brandon StokleyB. Stokley,5,61.0,0,0,0,0,0,0,0,0,0,0,31,354,0,0,0,0,WR
Joshua CribbsJ. Cribbs,8,57.0,3,2,19,0,0,0,20,66,0,0,23,292,1,0,0,0,WR
Early DoucetE. Doucet,6,57.0,0,0,0,0,0,0,2,5,0,0,26,291,1,0,0,0,WR
Vincent JacksonV. Jackson,10,56.0,0,0,0,0,0,0,1,14,0,0,14,248,3,0,0,0,WR
Antwaan Randle ElA. Randle El,5,56.0,2,2,42,2,0,0,1,2,0,0,22,253,0,0,0,0,WR
Demaryius ThomasD. Thomas,9,56.0,0,0,0,0,0,0,2,1,0,0,22,283,2,0,2,0,WR
Sidney RiceS. Rice,4,55.0,0,0,0,0,0,0,0,0,0,0,17,280,2,0,0,0,WR
Danario AlexanderD. Alexander,9,54.0,0,0,0,0,0,0,0,0,0,0,20,306,1,0,0,0,WR
Andre CaldwellA. Caldwell,6,54.0,0,0,0,0,0,0,1,-2,0,0,25,345,0,0,1,0,WR
Harry DouglasH. Douglas,8,52.0,0,0,0,0,0,0,2,-5,0,0,22,294,1,0,0,0,WR
Derek HaganD. Hagan,8,51.0,0,0,0,0,0,0,0,0,0,0,24,223,1,0,0,0,WR
Craig DavisC. Davis,10,50.0,0,0,0,0,0,0,0,0,0,0,21,259,1,0,0,0,WR
Brian FinneranB. Finneran,8,50.0,0,0,0,0,0,0,0,0,0,0,19,166,3,0,0,0,WR
Bernard BerrianB. Berrian,4,49.0,0,0,0,0,0,0,1,-8,0,0,28,252,0,0,0,0,WR
Justin GageJ. Gage,9,49.0,0,0,0,0,0,0,0,0,0,0,20,266,1,0,0,0,WR
Micheal SpurlockM. Spurlock,4,49.0,3,0,0,0,0,0,0,0,0,0,17,250,2,0,1,0,WR
Seyi AjirotutuS. Ajirotutu,10,48.0,0,0,0,0,0,0,0,0,0,0,13,262,2,0,0,0,WR
Dexter McClusterD. McCluster,4,47.0,0,0,0,0,0,0,18,71,0,0,21,209,1,0,1,0,WR
Chris ChambersC. Chambers,4,45.0,0,0,0,0,0,0,0,0,0,0,22,213,1,0,0,0,WR
Greg CamarilloG. Camarillo,4,44.0,0,0,0,0,0,0,0,0,0,0,20,240,1,0,0,0,WR
Sammie StroughterS. Stroughter,4,43.0,0,0,0,0,0,0,1,2,0,0,24,239,0,0,1,0,WR
Donald JonesD. Jones,6,42.0,0,0,0,0,0,0,3,1,0,0,18,213,1,0,0,0,WR
Brad SmithB. Smith,7,42.0,3,2,6,1,0,0,38,299,1,0,4,44,0,0,1,0,WR
Golden TateG. Tate,5,41.0,0,0,0,0,0,0,2,4,0,0,21,227,0,0,0,0,WR
Jason HillJ. Hill,9,39.0,0,0,0,0,0,0,0,0,0,0,11,248,1,0,0,0,WR
Bryant JohnsonB. Johnson,7,35.0,0,0,0,0,0,0,0,0,0,0,18,210,0,1,0,0,WR
Kelley WashingtonK. Washington,10,35.0,0,0,0,0,0,0,0,0,0,0,13,173,1,0,0,0,WR
Damian WilliamsD. Williams,9,35.0,0,0,0,0,0,0,1,5,0,0,16,219,0,0,0,0,WR
Greg LewisG. Lewis,4,34.0,0,0,0,0,0,0,0,0,0,0,17,197,0,0,0,0,WR
Ted Ginn Jr.T. Ginn,9,31.0,0,0,0,0,0,0,2,11,0,0,12,163,1,0,0,0,WR
Antonio BrownA. Brown,5,30.0,0,0,0,0,0,0,0,0,0,0,16,167,0,0,0,0,WR
Terrance CopperT. Copper,4,29.0,0,0,0,0,0,0,0,0,0,0,18,157,0,0,0,0,WR
Ruvell MartinR. Martin,5,28.0,0,0,0,0,0,0,0,0,0,0,7,158,1,0,0,0,WR
Chad HallC. Hall,8,27.0,0,0,0,0,0,0,9,29,0,0,11,115,1,0,0,0,WR
Joey GallowayJ. Galloway,9,26.0,0,0,0,0,0,0,0,0,0,0,12,173,0,0,0,0,WR
Marlon MooreM. Moore,5,24.0,0,0,0,0,0,0,1,16,0,0,6,128,1,0,0,0,WR
Devin AromashoduD. Aromashodu,8,23.0,0,0,0,0,0,0,0,0,0,0,10,149,0,0,0,0,WR
Riley CooperR. Cooper,8,23.0,0,0,0,0,0,0,0,0,0,0,7,116,1,0,0,0,WR
Sam HurdS. Hurd,4,23.0,0,0,0,0,0,0,0,0,0,0,14,120,0,0,0,0,WR
Rashied DavisR. Davis,8,22.0,0,0,0,0,0,0,0,0,0,0,9,84,1,0,0,0,WR
Naaman RooseveltN. Roosevelt,6,22.0,0,0,0,0,0,0,1,3,0,0,9,139,0,0,0,0,WR
Verran TuckerV. Tucker,4,21.0,0,0,0,0,0,0,0,0,0,0,6,114,1,0,0,0,WR
Dezmon BriscoeD. Briscoe,4,20.0,0,0,0,0,0,0,0,0,0,0,6,93,1,0,0,0,WR
Maurice StovallM. Stovall,4,20.0,0,0,0,0,0,0,0,0,0,0,7,81,1,0,0,0,WR
David AndersonD. Anderson,7,19.0,0,0,0,0,0,0,0,0,0,0,11,117,0,0,0,0,WR
Eric DeckerE. Decker,9,19.0,0,0,0,0,0,0,0,0,0,0,6,106,1,0,1,0,WR
Max KomarM. Komar,6,19.0,0,0,0,0,0,0,0,0,0,0,12,117,0,0,1,0,WR
Johnnie Lee HigginsJ. Higgins,10,18.0,0,0,0,0,0,0,0,0,0,0,10,103,0,0,0,0,WR
Tiquan UnderwoodT. Underwood,9,18.0,0,0,0,0,0,0,0,0,0,0,8,111,0,0,0,0,WR
David ClowneyD. Clowney,6,17.0,0,0,0,0,0,0,0,0,0,0,7,124,0,0,0,0,WR
Stephen WilliamsS. Williams,6,17.0,0,0,0,0,0,0,0,0,0,0,9,101,0,0,0,0,WR
Dominique ZeiglerD. Zeigler,9,17.0,0,0,0,0,0,0,0,0,0,0,9,98,0,0,0,0,WR
Kassim OsgoodK. Osgood,9,16.0,0,0,0,0,0,0,0,0,0,0,6,60,1,0,0,0,WR
Roydell WilliamsR. Williams,9,16.0,0,0,0,0,0,0,0,0,0,0,8,109,0,0,0,0,WR
Julian EdelmanJ. Edelman,5,15.0,0,0,0,0,0,0,2,14,0,0,7,86,0,0,0,0,WR
Adrian ArringtonA. Arrington,10,14.0,0,0,0,0,0,0,0,0,0,0,7,79,0,0,0,0,WR
Chaz SchilensC. Schilens,10,14.0,0,0,0,0,0,0,0,0,0,0,5,40,1,0,0,0,WR
Donte' StallworthD. Stallworth,8,12.0,0,0,0,0,0,0,5,45,0,0,2,82,0,0,1,0,WR
Brett SwainB. Swain,10,12.0,0,0,0,0,0,0,0,0,0,0,6,72,0,0,0,0,WR
Anthony GonzalezA. Gonzalez,7,11.0,0,0,0,0,0,0,0,0,0,0,5,67,0,0,0,0,WR
Ramses BardenR. Barden,8,10.0,0,0,0,0,0,0,0,0,0,0,5,64,0,0,0,0,WR
Mardy GilyardM. Gilyard,9,10.0,0,0,0,0,0,0,0,0,0,0,6,63,0,0,1,0,WR
Lavelle HawkinsL. Hawkins,9,10.0,0,0,0,0,0,0,0,0,0,0,5,61,0,0,0,0,WR
Eric WeemsE. Weems,8,10.0,0,0,0,0,0,0,0,0,0,0,6,61,0,0,0,0,WR
Roberto WallaceR. Wallace,5,9.0,0,0,0,0,0,0,0,0,0,0,6,62,0,0,0,0,WR
Terrence AustinT. Austin,9,7.0,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,0,WR
Preston ParkerP. Parker,4,7.0,0,0,0,0,0,0,1,7,0,0,4,42,0,0,0,0,WR
Taylor PriceT. Price,5,7.0,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0,WR
Dwayne JarrettD. Jarrett,6,6.0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0,WR
Kevin OgletreeK. Ogletree,4,6.0,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0,WR
Nick MillerN. Miller,10,5.0,0,0,0,0,0,0,0,0,0,0,3,40,0,0,1,0,WR
Derrick WilliamsD. Williams,7,5.0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,WR
Patrick TurnerP. Turner,5,4.0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0,WR
Brandon BanksB. Banks,9,3.0,0,0,0,0,0,0,2,6,0,0,2,10,0,0,0,0,WR
Michael ClaytonM. Clayton,4,3.0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,WR
Quan CosbyQ. Cosby,6,3.0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,WR
Yamon FigursY. Figurs,8,3.0,0,0,0,0,0,0,1,-4,0,0,2,17,0,0,0,0,WR
Hank BaskettH. Baskett,4,2.0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,WR
Richard GoodmanR. Goodman,10,2.0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,1,0,WR
Matt WillisM. Willis,9,2.0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,WR
Sam AikenS. Aiken,5,1.0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,WR
Gary BanksG. Banks,10,1.0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,WR
Duke CalhounD. Calhoun,8,1.0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,WR
Kevin CurtisK. Curtis,4,1.0,0,0,0,0,0,0,1,6,0,0,1,6,0,0,0,0,WR
Paul HubbardP. Hubbard,10,1.0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,WR
Manuel JohnsonM. Johnson,4,1.0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,WR
David ReedD. Reed,8,1.0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,WR
Ernest WilfordE. Wilford,9,1.0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,WR
Kyle WilliamsK. Williams,9,1.0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,WR
Armanti EdwardsA. Edwards,6,0.0,1,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,WR
Carlton MitchellC. Mitchell,8,0.0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,WR
Kenneth MooreK. Moore,6,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,WR
Courtney RobyC. Roby,10,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,WR
Marc MarianiM. Mariani,9,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,WR
Jason WittenJ. Witten,4,241.0,0,0,0,0,0,0,0,0,0,0,94,1002,9,1,1,0,TE
Vernon DavisV. Davis,9,185.0,0,0,0,0,0,0,0,0,0,0,56,914,7,1,0,0,TE
Antonio GatesA. Gates,10,184.0,0,0,0,0,0,0,0,0,0,0,50,782,10,0,0,0,TE
Marcedes LewisM. Lewis,9,179.0,0,0,0,0,0,0,0,0,0,0,58,700,10,0,2,0,TE
Chris CooleyC. Cooley,9,174.0,0,0,0,0,0,0,0,0,0,0,77,849,3,1,1,0,TE
Tony GonzalezT. Gonzalez,8,164.0,0,0,0,0,0,0,0,0,0,0,70,656,6,0,0,0,TE
Kellen WinslowK. Winslow,4,162.0,0,0,0,0,0,0,0,0,0,0,66,730,5,0,0,0,TE
Brandon PettigrewB. Pettigrew,7,159.0,0,0,0,0,0,0,0,0,0,0,71,722,4,0,0,0,TE
Benjamin WatsonB. Watson,8,156.0,0,0,0,0,0,0,1,-1,0,0,68,763,3,0,0,0,TE
Rob GronkowskiR. Gronkowski,5,150.0,0,0,0,0,0,0,0,0,0,0,42,546,10,0,1,0,TE
Zach MillerZ. Miller,10,150.0,0,0,0,0,0,0,0,0,0,0,60,685,5,0,0,0,TE
Jacob TammeJ. Tamme,7,149.0,0,0,0,0,0,0,0,0,0,0,67,631,4,0,0,0,TE
Dustin KellerD. Keller,7,144.0,0,0,0,0,0,0,0,0,0,0,55,687,5,0,0,0,TE
Aaron HernandezA. Hernandez,5,134.0,0,0,0,0,0,0,3,47,0,0,45,563,6,0,0,0,TE
Todd HeapT. Heap,8,123.0,0,0,0,0,0,0,0,0,0,0,40,599,5,0,0,0,TE
Jermaine GreshamJ. Gresham,6,117.0,0,0,0,0,0,0,0,0,0,0,52,471,4,1,1,0,TE
Tony MoeakiT. Moeaki,4,115.0,0,0,0,0,0,0,0,0,0,0,47,556,3,0,0,0,TE
Kevin BossK. Boss,8,111.0,0,0,0,0,0,0,0,0,0,0,35,531,5,0,1,0,TE
Brent CelekB. Celek,8,111.0,0,0,0,0,0,0,0,0,0,0,42,511,4,0,0,0,TE
Anthony FasanoA. Fasano,5,110.0,0,0,0,0,0,0,0,0,0,0,39,528,4,0,0,0,TE
Joel DreessenJ. Dreessen,7,105.0,0,0,0,0,0,0,0,0,0,0,36,518,4,0,1,0,TE
Visanthe ShiancoeV. Shiancoe,4,104.0,0,0,0,0,0,0,0,0,0,0,47,530,2,0,0,0,TE
Greg OlsenG. Olsen,8,102.0,0,0,0,0,0,0,0,0,0,0,41,404,5,0,1,0,TE
Heath MillerH. Miller,5,99.0,0,0,0,0,0,0,0,0,0,0,42,512,2,0,1,0,TE
Jeremy ShockeyJ. Shockey,10,94.0,0,0,0,0,0,0,0,0,0,0,41,408,3,0,0,0,TE
Jimmy GrahamJ. Graham,10,92.0,0,0,0,0,0,0,1,3,0,0,31,356,5,0,0,0,TE
Owen DanielsO. Daniels,7,91.0,0,0,0,0,0,0,0,0,0,0,38,471,2,0,0,0,TE
Dallas ClarkD. Clark,7,88.0,0,0,0,0,0,0,0,0,0,0,37,347,3,0,0,0,TE
Bo ScaifeB. Scaife,9,87.0,0,0,0,0,0,0,0,0,0,0,36,318,4,0,1,0,TE
Daniel FellsD. Fells,9,84.0,0,0,0,0,0,0,0,0,0,0,41,391,2,0,0,0,TE
Tony SchefflerT. Scheffler,7,83.0,0,0,0,0,0,0,0,0,0,0,45,378,1,0,1,0,TE
Fred DavisF. Davis,9,67.0,0,0,0,0,0,0,0,0,0,0,21,316,3,0,0,0,TE
Jared CookJ. Cook,9,66.0,0,0,0,0,0,0,0,0,0,0,29,361,1,0,0,0,TE
John CarlsonJ. Carlson,5,63.0,0,0,0,0,0,0,0,0,0,0,31,318,1,0,0,0,TE
David ThomasD. Thomas,10,60.0,0,0,0,0,0,0,0,0,0,0,30,219,2,0,0,0,TE
Jermichael FinleyJ. Finley,10,55.0,0,0,0,0,0,0,0,0,0,0,21,301,1,0,0,0,TE
Delanie WalkerD. Walker,9,55.0,0,0,0,0,0,0,3,18,0,0,29,331,0,0,1,0,TE
Martellus BennettM. Bennett,4,54.0,0,0,0,0,0,0,0,0,0,0,33,260,0,0,0,0,TE
Dante RosarioD. Rosario,6,51.0,0,0,0,0,0,0,1,-2,0,0,32,264,0,0,0,0,TE
Randy McMichaelR. McMichael,10,49.0,0,0,0,0,0,0,0,0,0,0,20,221,2,0,0,0,TE
Evan MooreE. Moore,8,48.0,0,0,0,0,0,0,0,0,0,0,16,322,1,0,1,0,TE
Andrew QuarlessA. Quarless,10,46.0,0,0,0,0,0,0,0,0,0,0,21,238,1,0,1,0,TE
Michael HoomanawanuiM. Hoomanawanui,9,42.0,0,0,0,0,0,0,0,0,0,0,13,146,3,0,0,0,TE
Zach MillerZ. Miller,9,42.0,0,0,0,0,0,0,2,9,0,0,20,216,1,0,0,0,TE
Jeff KingJ. King,6,39.0,0,0,0,0,0,0,0,0,0,0,19,121,2,0,0,0,TE
Billy BajemaB. Bajema,9,37.0,0,0,0,0,0,0,0,0,0,0,14,145,2,0,0,0,TE
Travis BeckumT. Beckum,8,33.0,0,0,0,0,0,0,0,0,0,0,13,116,2,0,0,0,TE
Donald LeeD. Lee,10,33.0,0,0,0,0,0,0,0,0,0,0,11,73,3,0,1,0,TE
John GilmoreJ. Gilmore,4,31.0,0,0,0,0,0,0,0,0,0,0,13,160,1,0,0,0,TE
Craig StevensC. Stevens,9,31.0,0,0,0,0,0,0,0,0,0,0,11,122,2,0,0,0,TE
Leonard PopeL. Pope,4,29.0,0,0,0,0,0,0,0,0,0,0,10,76,2,0,0,0,TE
Ed DicksonE. Dickson,8,28.0,0,0,0,0,0,0,0,0,0,0,11,152,1,0,0,0,TE
Daniel GrahamD. Graham,9,28.0,0,0,0,0,0,0,0,0,0,0,18,148,0,0,0,0,TE
Jim KleinsasserJ. Kleinsasser,4,27.0,0,0,0,0,0,0,0,0,0,0,17,148,0,0,0,0,TE
Ben PatrickB. Patrick,6,25.0,0,0,0,0,0,0,0,0,0,0,15,123,0,0,0,0,TE
Justin PeelleJ. Peelle,8,24.0,0,0,0,0,0,0,0,0,0,0,10,96,1,0,0,0,TE
Chris BakerC. Baker,5,23.0,0,0,0,0,0,0,0,0,0,0,9,116,1,0,0,0,TE
Alge CrumplerA. Crumpler,5,21.0,0,0,0,0,0,0,0,0,0,0,6,52,2,0,0,0,TE
Matt SpaethM. Spaeth,5,21.0,0,0,0,0,0,0,0,0,0,0,9,80,1,0,0,0,TE
Clay HarborC. Harbor,8,20.0,0,0,0,0,0,0,0,0,0,0,9,72,1,0,0,0,TE
Jonathan StuparJ. Stupar,6,20.0,0,0,0,0,0,0,0,0,0,0,12,111,0,0,0,0,TE
Cameron MorrahC. Morrah,5,17.0,0,0,0,0,0,0,0,0,0,0,9,117,0,0,0,0,TE
Brandon MyersB. Myers,10,17.0,0,0,0,0,0,0,0,0,0,0,12,80,0,0,0,0,TE
David MartinD. Martin,6,16.0,0,0,0,0,0,0,0,0,0,0,7,43,1,0,0,0,TE
