Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Adrian PetersonA. Peterson,5,114.0,0,0,0,0,0,0,156,604,7,0,12,101,0,0,0,0
Antonio BrownA. Brown,13,113.0,0,0,0,0,0,0,2,-2,0,0,45,483,4,0,0,0
Jalen HurtsJ. Hurts,9,113.0,148,77,1061,6,4,0,63,354,3,0,1,3,0,0,2,0
Dallas GoedertD. Goedert,9,111.0,0,0,0,0,0,0,0,0,0,0,46,524,3,0,0,0
Travis FulghamT. Fulgham,9,110.0,0,0,0,0,0,0,0,0,0,0,38,539,4,0,0,0
David MooreD. Moore,6,110.0,0,0,0,0,0,0,8,61,0,0,35,417,6,0,0,0
Austin HooperA. Hooper,9,109.0,0,0,0,0,0,0,0,0,0,0,46,435,4,0,0,0
Tony PollardT. Pollard,10,109.0,0,0,0,0,0,0,101,435,4,0,28,193,1,0,0,0
James WhiteJ. White,5,108.0,0,0,0,0,0,0,35,121,2,0,49,375,1,0,0,0
Damiere ByrdD. Byrd,5,107.0,0,0,0,0,0,0,2,15,0,0,47,604,1,0,0,0
A.J. GreenA. Green,9,107.0,0,0,0,0,0,0,0,0,0,0,47,523,2,0,0,0
Danny AmendolaD. Amendola,5,101.0,0,0,0,0,0,0,1,2,0,0,46,602,0,0,0,0
Anthony MillerA. Miller,11,101.0,0,0,0,0,0,0,2,12,0,0,49,485,2,0,1,0
Demarcus RobinsonD. Robinson,10,101.0,0,0,0,0,0,0,0,0,0,0,45,466,3,0,1,0
Malcolm BrownM. Brown,9,99.0,0,0,0,0,0,0,101,419,5,0,23,162,0,0,1,0
Rex BurkheadR. Burkhead,5,99.0,0,0,0,0,0,0,67,274,3,0,25,192,3,0,0,0
Tre'Quan SmithT. Smith,6,98.0,0,0,0,0,0,0,1,3,0,0,34,448,4,0,0,0
Larry FitzgeraldL. Fitzgerald,8,97.0,0,0,0,0,0,0,0,0,0,0,54,409,1,0,0,0
Cam AkersC. Akers,9,96.0,0,0,0,0,0,0,145,625,2,0,11,123,1,0,1,0
Scott MillerS. Miller,13,96.0,0,0,0,0,0,0,3,14,0,0,33,501,3,0,0,0
John BrownJ. Brown,11,95.0,0,0,0,0,0,0,0,0,0,0,33,458,3,0,0,0
Randall CobbR. Cobb,8,95.0,1,0,0,0,0,0,0,0,0,0,38,441,3,0,0,0
Joe MixonJ. Mixon,9,95.0,0,0,0,0,0,0,119,428,3,0,21,138,1,0,1,0
Raheem MostertR. Mostert,11,95.0,0,0,0,0,0,0,104,521,2,0,16,156,1,0,1,0
Irv SmithI. Smith,7,95.0,0,0,0,0,0,0,0,0,0,0,30,365,5,1,0,0
Breshad PerrimanB. Perriman,10,94.0,0,0,0,0,0,0,1,6,0,0,30,505,3,0,0,0
James WashingtonJ. Washington,4,94.0,0,0,0,0,0,0,0,0,0,0,30,392,5,0,0,0
Zack MossZ. Moss,11,93.0,0,0,0,0,0,0,112,481,4,0,14,95,1,0,0,0
Frank GoreF. Gore,10,92.0,0,0,0,0,0,0,187,653,2,0,16,89,0,0,1,0
Allen LazardA. Lazard,5,92.0,0,0,0,0,0,0,2,17,0,0,33,451,3,0,0,0
Dan ArnoldD. Arnold,8,91.0,0,0,0,0,0,0,0,0,0,0,31,438,4,0,1,0
Braxton BerriosB. Berrios,10,91.0,0,0,0,0,0,0,3,29,0,0,37,394,3,0,0,0
Chris ConleyC. Conley,8,91.0,0,0,0,0,0,0,0,0,0,0,40,471,2,0,1,0
Michael PittmanM. Pittman,7,91.0,0,0,0,0,0,0,3,26,0,0,40,503,1,0,0,0
Jalen GuytonJ. Guyton,6,90.0,0,0,0,0,0,0,2,0,0,0,28,511,3,0,0,0
Willie SneadW. Snead,7,89.0,0,0,0,0,0,0,0,0,0,0,33,432,3,0,0,0
Keke CouteeK. Coutee,8,88.0,0,0,0,0,0,0,0,0,0,0,33,400,3,1,3,0
Isaiah McKenzieI. McKenzie,11,88.0,1,1,12,1,0,0,10,9,0,0,30,282,5,0,0,0
Damien HarrisD. Harris,5,87.0,0,0,0,0,0,0,137,691,2,0,5,52,0,0,0,0
Gerald EverettG. Everett,9,86.0,0,0,0,0,0,0,1,2,1,0,41,417,1,0,1,0
