Player,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
Mike Gesicki,5,130.0,0,0,0,0,0,0,0,0,0,0,51,570,5,0,1,0
James Washington,7,130.0,0,0,0,0,0,0,0,0,0,0,44,735,3,0,1,0
Zach Pascal,6,128.0,1,0,0,0,0,0,2,16,0,0,41,607,5,1,0,0
Hunter Renfrow,6,128.0,0,0,0,0,0,0,0,0,0,0,49,605,4,0,0,0
Mason Rudolph,7,128.0,283,176,1765,13,9,0,21,42,0,0,0,0,0,0,0,0
Tevin Coleman,4,126.0,0,0,0,0,0,0,137,544,6,0,21,180,1,0,0,0
Case Keenum,10,125.0,247,160,1707,11,5,0,9,12,1,0,0,0,0,0,3,0
Anthony Miller,6,123.0,0,0,0,0,0,0,1,-1,0,0,52,656,2,0,1,0
,6,120.0,0,0,0,0,0,0,0,0,0,0,45,501,5,0,0,0
Greg Olsen,7,119.0,0,0,0,0,0,0,0,0,0,0,52,597,2,0,0,0
Alshon Jeffery,10,117.0,0,0,0,0,0,0,1,2,1,0,43,490,4,0,0,0
Mohamed Sanu,10,117.0,0,0,0,0,0,0,3,11,0,0,59,520,2,0,0,0
Kenny Stills,5,113.0,0,0,0,0,0,0,0,0,0,0,40,561,4,0,0,0
LeSean McCoy,6,112.0,0,0,0,0,0,0,101,465,4,0,28,181,1,0,2,0
Adam Thielen,12,110.0,0,0,0,0,0,0,4,6,1,0,30,418,6,0,0,0
Brandin Cooks,9,109.0,0,0,0,0,0,0,6,52,0,0,42,583,2,0,0,0
JuJu Smith-Schuster,7,109.0,0,0,0,0,0,0,0,0,0,0,42,552,3,0,1,0
Corey Davis,11,108.0,0,0,0,0,0,0,0,0,0,0,43,601,2,0,0,0
Mecole Hardman,12,108.0,0,0,0,0,0,0,4,17,0,0,26,538,6,0,2,0
Peyton Barber,7,107.0,0,0,0,0,0,0,154,470,6,1,16,115,1,0,1,0
Kyle Rudolph,12,107.0,0,0,0,0,0,0,0,0,0,0,39,367,6,1,0,0
DeAndre Washington,6,107.0,0,0,0,0,0,0,108,387,3,0,36,292,0,0,0,0
Jack Doyle,6,106.0,0,0,0,0,0,0,0,0,0,0,43,448,4,0,0,0
Noah Fant,10,106.0,0,0,0,0,0,0,3,-12,0,0,40,562,3,0,1,0
Evan Engram,11,105.0,0,0,0,0,0,0,3,7,0,0,44,467,3,0,0,0
Jordan Howard,10,104.0,0,0,0,0,0,0,119,525,6,0,10,69,1,0,0,0
Teddy Bridgewater,9,103.0,196,133,1384,9,2,0,28,31,0,0,0,0,0,0,0,0
Darren Fells,10,103.0,0,0,0,0,0,0,0,0,0,0,34,341,7,0,0,0
Tyler Eifert,9,99.0,0,0,0,0,0,0,0,0,0,0,43,436,3,1,0,0
Steven Sims,10,98.0,1,0,0,0,0,0,9,85,1,0,34,310,4,0,0,0
Allen Lazard,11,97.0,0,0,0,0,0,0,1,21,0,0,35,477,3,0,0,0
Demarcus Robinson,12,97.0,0,0,0,0,0,0,0,0,0,0,32,449,4,0,0,0
Jonnu Smith,11,97.0,0,0,0,0,0,0,4,78,0,0,35,439,3,0,0,0
Auden Tate,9,97.0,0,0,0,0,0,0,0,0,0,0,40,575,1,0,1,0
Phillip Dorsett,10,96.0,0,0,0,0,0,0,3,21,0,0,29,397,5,0,0,0
Nyheim Hines,6,96.0,0,0,0,0,0,0,52,199,2,0,44,320,0,0,1,0
Matt Breida,4,94.0,0,0,0,0,0,0,123,623,1,0,19,120,1,0,1,0
Joe Flacco,10,94.0,262,171,1822,6,5,1,12,20,0,0,0,0,0,0,3,0
Jimmy Graham,11,94.0,0,0,0,0,0,0,0,0,0,0,38,447,3,0,0,0
Ryan Griffin,4,94.0,0,0,0,0,0,0,0,0,0,0,34,320,5,1,0,0
Kareem Hunt,7,94.0,0,0,0,0,0,0,43,179,2,0,37,285,1,0,0,0
Marcus Mariota,11,94.0,160,95,1203,7,2,0,24,129,0,0,0,0,0,0,0,0
Jaylen Samuels,7,94.0,5,4,35,0,1,0,66,175,1,0,47,305,1,0,1,0
Nelson Agholor,10,92.0,0,0,0,0,0,0,2,7,0,0,39,363,3,1,1,0
Russell Gage,9,92.0,0,0,0,0,0,0,4,12,0,0,49,446,1,0,1,0
John Ross,9,92.0,0,0,0,0,0,0,3,4,0,0,28,506,3,0,1,0
Kendrick Bourne,4,91.0,0,0,0,0,0,0,0,0,0,0,30,358,5,1,0,0
Rex Burkhead,10,91.0,0,0,0,0,0,0,65,302,3,0,27,279,0,0,1,0
Taysom Hill,9,91.0,6,3,55,0,0,0,27,156,1,0,19,234,6,0,0,0
Boston Scott,10,91.0,0,0,0,0,0,0,61,245,5,0,24,204,0,0,1,0
Alex Erickson,9,90.0,1,1,26,0,0,0,5,33,0,0,43,529,0,0,2,0
Jacob Hollister,10,90.0,0,0,0,0,0,0,0,0,0,0,41,349,3,0,0,0
Willie Snead,8,90.0,0,0,0,0,0,0,2,2,0,0,31,339,5,0,0,0
Preston Williams,5,89.0,0,0,0,0,0,0,0,0,0,0,32,428,3,0,1,0
Cameron Brate,7,86.0,0,0,0,0,0,0,0,0,0,0,36,311,4,0,0,0
Gerald Everett,9,85.0,0,0,0,0,0,0,1,0,0,0,37,408,2,0,0,0
Dwayne Haskins,10,85.0,203,119,1365,7,7,1,20,101,0,0,0,0,0,0,2,0
Taylor Gabriel,6,84.0,0,0,0,0,0,0,3,20,0,0,29,353,4,0,0,0
Frank Gore,6,84.0,0,0,0,0,0,0,166,599,2,0,13,100,0,0,0,0
Chris Thompson,10,84.0,0,0,0,0,0,0,37,138,0,0,42,378,0,0,0,0
Gus Edwards,8,83.0,0,0,0,0,0,0,133,711,2,0,7,45,0,0,1,0
Adam Humphries,11,83.0,0,0,0,0,0,0,1,1,0,0,37,374,2,0,0,0
Jordan Akins,10,82.0,0,0,0,0,0,0,0,0,0,0,36,418,2,0,0,0
Tony Pollard,8,82.0,0,0,0,0,0,0,86,455,2,1,15,107,1,0,1,0
,7,81.0,0,0,0,0,0,0,0,0,0,0,34,459,1,0,1,0
Demaryius Thomas,10,81.0,0,0,0,0,0,0,0,0,0,0,36,433,1,0,0,0
Albert Wilson,5,81.0,2,1,20,0,0,0,5,45,0,0,43,351,1,0,0,0
Eric Ebron,6,80.0,0,0,0,0,0,0,0,0,0,0,31,375,3,0,0,0
Ted Ginn J,9,80.0,0,0,0,0,0,0,3,18,0,0,30,421,2,0,0,0
Kerryon Johnson,5,80.0,0,0,0,0,0,0,113,403,3,0,10,127,1,0,1,0
Allen Hurns,8,79.0,0,0,0,0,0,0,0,0,0,0,32,416,2,0,1,0
Blake Jarwin,8,79.0,0,0,0,0,0,0,0,0,0,0,31,365,3,0,0,0
Drew Lock,10,79.0,156,100,1020,7,3,0,18,72,0,0,0,0,0,0,1,0
Vance McDonald,7,78.0,0,0,0,0,0,0,1,2,0,0,38,273,3,0,0,0
Tajae Sharpe,11,77.0,0,0,0,0,0,0,0,0,0,0,25,329,4,0,0,0
,5,76.0,0,0,0,0,0,0,0,0,0,0,32,367,2,0,0,0
Marquez Valdes-Scantling,11,76.0,0,0,0,0,0,0,2,9,0,0,26,452,2,0,0,0
Chase Edmonds,12,75.0,0,0,0,0,0,0,60,303,4,0,12,105,1,0,0,0
Irv Smith,12,75.0,0,0,0,0,0,0,0,0,0,0,36,311,2,0,0,0
Keelan Cole,10,74.0,0,0,0,0,0,0,1,6,0,0,24,361,3,0,0,0
,11,74.0,0,0,0,0,0,0,38,205,0,0,34,233,1,0,0,0
Dawson Knox,6,73.0,0,0,0,0,0,0,1,9,0,0,28,388,2,0,0,0
Will Dissly,11,72.0,0,0,0,0,0,0,1,7,0,0,23,262,4,0,0,0
Olabisi Johnson,12,72.0,0,0,0,0,0,0,1,6,0,0,31,294,3,0,0,0
Kaden Smith,4,72.0,0,0,0,0,0,0,0,0,0,0,31,268,3,0,0,0
Hayden Hurst,8,71.0,0,0,0,0,0,0,0,0,0,0,30,349,2,0,0,0
Rashaad Penny,11,71.0,0,0,0,0,0,0,65,370,3,0,8,83,1,0,1,0
Geronimo Allison,11,70.0,0,0,0,0,0,0,1,7,0,0,34,287,2,1,1,0
Dare Ogunbowale,7,70.0,0,0,0,0,0,0,11,17,2,0,35,286,0,0,1,0
Jalen Richard,6,70.0,0,0,0,0,0,0,39,145,0,0,36,323,0,0,0,0
Damiere Byrd,12,69.0,0,0,0,0,0,0,0,0,0,0,32,359,1,0,1,0
Nick Boyle,8,68.0,0,0,0,0,0,0,0,0,0,0,31,321,2,0,0,0
Josh Gordon,11,68.0,1,0,0,0,1,0,1,1,0,0,27,426,1,0,0,0
Tre'Quan Smith,9,67.0,0,0,0,0,0,0,0,0,0,0,18,234,5,0,0,0
Eli Manning,11,66.0,147,91,1042,6,5,0,4,7,0,0,0,0,0,0,1,0
Foster Moreau,6,65.0,0,0,0,0,0,0,0,0,0,0,21,174,5,0,0,0
Jeff Driskel,9,63.0,105,62,685,4,4,0,22,151,1,0,1,6,0,0,0,0
Darrel Williams,12,63.0,0,0,0,0,0,0,41,141,3,0,15,167,1,0,1,0
Kelvin Harmon,10,62.0,1,1,11,0,0,0,0,0,0,0,30,365,0,0,0,0
Brian Hill,9,62.0,0,0,0,0,0,0,78,323,2,0,10,69,1,0,0,0
Cody Latimer,11,62.0,0,0,0,0,0,0,0,0,0,0,24,300,2,0,0,0
Patrick Laird,5,61.0,0,0,0,0,0,0,62,168,1,0,23,204,0,1,0,0
Alexander Mattison,12,61.0,0,0,0,0,0,0,100,462,1,0,10,82,0,0,1,0
Paul Richardson,10,61.0,0,0,0,0,0,0,1,0,0,0,28,245,2,0,0,0
Giovani Bernard,9,59.0,0,0,0,0,0,0,53,170,0,0,30,234,0,0,1,0
David Blough,7,59.0,174,94,984,4,6,0,8,31,0,0,1,19,1,0,0,0
DaeSean Hamilton,10,59.0,0,0,0,0,0,0,0,0,0,0,28,297,1,0,0,0
Josh Hill,9,59.0,0,0,0,0,0,0,0,0,0,0,25,226,3,0,0,0
Isaiah McKenzie,6,59.0,0,0,0,0,0,0,8,49,0,0,27,254,1,0,0,0
,9,58.0,0,0,0,0,0,0,0,0,0,0,27,242,2,0,0,0
Greg Ward,10,58.0,0,0,0,0,0,0,1,5,0,0,28,254,1,0,0,0
Devlin Hodges,7,57.0,160,100,1063,5,8,0,21,68,0,0,0,0,0,0,1,0
Josh Reynolds,9,57.0,0,0,0,0,0,0,5,23,0,0,21,326,1,0,0,0
Ricky Seals-Jones,7,57.0,0,0,0,0,0,0,0,0,0,0,14,229,4,0,1,0
Dion Lewis,11,56.0,0,0,0,0,0,0,54,209,0,0,25,164,1,0,1,0
Jakobi Meyers,10,56.0,0,0,0,0,0,0,0,0,0,0,26,359,0,0,0,0
Malcolm Brown,9,55.0,0,0,0,0,0,0,69,255,5,0,2,16,0,0,0,0
