Player,Year,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
Maurice Ffrench,2021,WR,7,0.3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Nate Cottrell,2021,RB,7,0.3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Kellen Mond,2021,QB,7,0.2,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Peterman,2021,QB,8,0.2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
Kenjon Barner,2021,RB,9,0.0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Brett Rypien,2021,QB,11,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurt Benkert,2021,QB,13,-0.1,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,0
Nate McCrary,2021,RB,8,-0.1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
Chase Daniel,2021,QB,7,-0.2,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0
Alex Bachman,2021,WR,10,-0.3,0,0,0,0,0,0,1,-3,0,0,0,0,0,0,0,0
Davis Webb,2021,QB,7,-0.3,0,0,0,0,0,0,2,-3,0,0,0,0,0,0,0,0
Logan Woodside,2021,QB,13,-0.6,0,0,0,0,0,0,6,-6,0,0,0,0,0,0,0,0
Jacob Eason,2021,QB,9,-1.0,5,2,25,0,1,0,0,0,0,0,0,0,0,0,0,0
Feleipe Franks,2021,TE,6,-1.4,1,0,0,0,1,0,3,6,0,0,0,0,0,0,0,0
Trenton Cannon,2021,RB,6,-1.6,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,0
John Wolford,2021,QB,11,-1.9,4,1,5,0,1,0,2,-1,0,0,0,0,0,0,0,0
J.J. Koski,2021,WR,11,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Travis Benjamin,2021,WR,6,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Josh Rosen,2021,QB,6,-3.2,11,2,19,0,2,0,0,0,0,0,0,0,0,0,0,0
Diontae Spencer,2021,WR,11,-3.3,0,0,0,0,0,0,0,0,0,0,1,-3,0,0,2,0
