Player,Year,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD,ID
J. Higgins,2010,WR,10,20.3,0,0,0,0,0,0,0,0,0,0,10,103,0,0,0,0,higgijo03
D. Karim,2010,RB,9,20.0,0,0,0,0,0,0,35,160,0,0,3,10,0,0,0,0,karimde01
B. Myers,2010,TE,10,20.0,0,0,0,0,0,0,0,0,0,0,12,80,0,0,0,0,myersbr02
D. Clowney,2010,WR,6,19.4,0,0,0,0,0,0,0,0,0,0,7,124,0,0,0,0,clownda01
T. Underwood,2010,WR,9,19.1,0,0,0,0,0,0,0,0,0,0,8,111,0,0,0,0,underti01
S. Williams,2010,WR,6,19.1,0,0,0,0,0,0,0,0,0,0,9,101,0,0,0,0,willist07
J. Felton,2010,RB,7,19.0,0,0,0,0,0,0,22,76,0,0,8,54,0,0,1,0,feltoje01
R. Williams,2010,WR,9,18.9,0,0,0,0,0,0,0,0,0,0,8,109,0,0,0,0,williro13
D. Zeigler,2010,WR,9,18.8,0,0,0,0,0,0,0,0,0,0,9,98,0,0,0,0,zeigldo02
S. Morris,2010,RB,5,18.3,0,0,0,0,0,0,20,56,0,0,7,77,0,0,1,0,morrisa01
A. Brown,2010,RB,7,18.3,0,0,0,0,0,0,17,58,0,0,8,45,0,0,0,0,brownaa04
C. Gronkowski,2010,RB,4,18.2,0,0,0,0,0,0,5,17,0,0,7,35,1,0,0,0,gronkch01
F. Taylor,2010,RB,5,18.1,0,0,0,0,0,0,43,155,0,0,2,6,0,0,0,0,taylofr01
K. Osgood,2010,WR,9,18.0,0,0,0,0,0,0,0,0,0,0,6,60,1,0,0,0,osgooka01
S. Larsen,2010,RB,9,17.9,0,0,0,0,0,0,3,18,0,0,5,51,1,0,0,0,larsesp01
J. Casey,2010,RB,7,17.8,0,0,0,0,0,0,0,0,0,0,8,98,0,0,0,0,caseyja01
H. Evans,2010,RB,10,17.3,0,0,0,0,0,0,2,2,0,0,7,41,1,0,0,0,evanshe01
D. Martin,2010,TE,6,17.3,0,0,0,0,0,0,0,0,0,0,7,43,1,0,0,0,martida01
V. Leach,2010,RB,7,17.1,0,0,0,0,0,0,0,0,0,0,8,91,0,0,0,0,leachvo01
